,website,time,avg_time
0,360.cn.,123.0,0.123
1,amazon.com.,11.666666666666666,0.011666666666666665
2,baidu.com.,10.0,0.01
3,facebook.com.,10.0,0.01
4,google.com.,14.0,0.014
5,google.com.hk.,17.0,0.017
6,instagram.com.,10.0,0.01
7,jd.com.,106.25,0.10625
8,live.com.,10.0,0.01
9,microsoft.com.,10.0,0.01
10,netflix.com.,22.0,0.022
11,office.com.,10.0,0.01
12,panda.tv.,182.0,0.182
13,qq.com.,10.0,0.01
14,reddit.com.,10.0,0.01
15,sina.com.cn.,267.0,0.267
16,sohu.com.,234.0,0.234
17,taobao.com.,83.0,0.083
18,tmall.com.,174.0,0.174
19,weibo.com.,326.0,0.326
20,wikipedia.org.,16.0,0.016
21,xinhuanet.com.,45.714285714285715,0.045714285714285714
22,yahoo.com.,10.0,0.01
23,youtube.com.,21.0,0.021
24,zoom.us.,21.0,0.021
